name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Best overall,Best position,Growth,Value,Wage,Release clause,Total attacking,Crossing,Finishing,Heading accuracy,Short passing,Volleys,Total skill,Dribbling,Curve,FK Accuracy,Long passing,Ball control,Total movement,Acceleration,Sprint speed,Agility,Reactions,Balance,Total power,Shot power,Jumping,Stamina,Strength,Long shots,Total mentality,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Total defending,Marking,Standing tackle,Sliding tackle,Total goalkeeping,GK Diving,GK Handling,GK Kicking,GK Positioning,GK Reflexes,Total stats,Base stats,International reputation,Pace / Diving,Shooting / Handling,Passing / Kicking,Dribbling / Reflexes,Defending / Pace
J. Doku RM RW,20,76,85,"Rennes
2020 ~ 2025",246420,"173cm / 5'8""",77kg / 170lbs,Right,78,RM,9,€16.5M,€30K,€34.7M,303,65,70,37,72,59,325,83,63,44,59,76,431,94,89,89,72,87,339,74,75,63,68,59,270,58,18,72,71,51,71,75,22,28,25,50,11,10,8,9,12,1793,396,3,91,67,67,81,25
O. Lingr CAM LM RM,23,75,80,"Slavia Praha
2020 ~ 2024",258208,"175cm / 5'9""",70kg / 154lbs,Right,78,ST,5,€8.5M,€1K,€19.3M,363,69,75,79,72,68,355,76,66,68,69,76,398,79,78,84,70,87,388,75,83,78,78,74,354,84,49,81,72,68,75,148,51,49,48,52,14,5,11,10,12,2058,431,1,78,74,70,77,53
22 M. Greenwood RM ST,19,79,90,"Manchester United
2018 ~ 2025",246147,"181cm / 5'11""",70kg / 154lbs,Left,81,ST,11,€38M,€62K,€77.9M,366,72,83,65,76,70,373,81,78,65,71,78,404,83,84,83,78,76,367,85,67,74,63,78,316,59,34,82,72,69,77,112,40,39,33,34,5,6,6,9,8,1972,423,1,84,81,73,80,40
T. Reijnders CM,23,76,81,"AZ Alkmaar
2017 ~ 2027",240638,"185cm / 6'1""",73kg / 161lbs,Right,78,CAM,5,€11.5M,€10K,€18.1M,338,72,69,58,77,62,363,77,70,68,72,76,388,82,72,84,76,74,381,76,73,91,64,77,345,67,74,71,76,57,75,197,66,67,64,48,6,10,9,14,9,2060,438,1,77,71,74,77,67
C. Pulisic LW RW LM,23,80,84,"Chelsea
2019 ~ 2024",227796,"177cm / 5'10""",69kg / 152lbs,Right,81,CAM,4,€30M,€105K,€59.3M,344,74,73,50,77,70,356,86,70,58,59,83,421,88,82,87,77,87,337,76,79,67,54,61,295,45,33,78,78,61,79,117,38,32,47,63,8,12,13,16,14,1933,407,3,85,71,73,84,37
B. Pavard CB RB,26,82,84,"FC Bayern München
2019 ~ 2024",226851,"186cm / 6'1""",81kg / 179lbs,Right,84,CB,2,€33.5M,€69K,€57.8M,364,74,49,84,79,78,333,68,63,51,76,75,353,68,72,66,81,66,396,80,87,81,78,70,334,74,83,60,66,51,78,252,83,86,83,53,9,7,15,7,15,2085,438,3,70,62,73,71,84
E. Nuamah RW ST LW,18,68,82,"Nordsjælland
2022 ~ 2026",268763,"178cm / 5'10""",71kg / 157lbs,Left,68,RW,14,€2.8M,€2K,€5.3M,261,53,66,37,50,55,297,76,60,45,44,72,417,89,88,90,64,86,316,63,68,64,65,56,221,35,17,68,52,49,67,73,29,21,23,52,11,8,11,9,13,1637,359,1,88,62,50,76,24
Y. Ayari CM CAM,18,61,78,"Brighton & Hove Albion
2023 ~ 2027",257400,"172cm / 5'8""",69kg / 152lbs,Right,65,CAM,17,€825K,€3K,€2.1M,255,52,50,42,65,46,284,65,50,38,64,67,349,65,69,74,56,85,276,55,52,64,57,48,284,66,44,61,64,49,62,154,51,53,50,49,9,11,7,7,15,1651,354,1,67,51,60,67,49
K. Havertz CAM RW ST,23,83,89,"Chelsea
2020 ~ 2025",235790,"190cm / 6'3""",82kg / 181lbs,Left,86,CAM,6,€57.5M,€120K,€120.8M,398,74,81,80,83,80,386,85,84,53,79,85,394,76,85,76,84,73,375,76,75,77,69,78,328,52,38,83,82,73,84,123,39,46,38,47,6,8,11,10,12,2051,435,3,81,79,79,83,45
E. Nketiah ST,23,75,80,"Arsenal
2016 ~ 2027",236988,"180cm / 5'11""",73kg / 161lbs,Right,77,ST,5,€8.5M,€60K,€16.8M,334,43,79,70,72,70,294,78,54,38,47,77,390,83,78,79,78,72,339,73,73,71,62,60,282,56,20,78,58,70,69,58,24,19,15,47,12,10,11,9,5,1744,376,1,80,73,57,77,25
